Name,Profile URL,Image URL,Jersey,B/T,Height,Weight,DOB
Anthony Banda,https://www.mlb.com/player/607455,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/607455/headshot/silo/current",43,L/L,"6' 2""",221,08/10/1993
Ben Casparius,https://www.mlb.com/player/676508,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/676508/headshot/silo/current",78,R/R,"6' 2""",215,02/11/1999
Jack Dreyer,https://www.mlb.com/player/676263,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/676263/headshot/silo/current",86,R/L,"6' 2""",205,02/27/1999
Tyler Glasnow,https://www.mlb.com/player/607192,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/607192/headshot/silo/current",31,L/R,"6' 8""",225,08/23/1993
Tony Gonsolin,https://www.mlb.com/player/664062,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/664062/headshot/silo/current",26,R/R,"6' 3""",205,05/14/1994
Brusdar Graterol,https://www.mlb.com/player/660813,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/660813/headshot/silo/current",48,R/R,"6' 1""",265,08/26/1998
Michael Grove,https://www.mlb.com/player/675627,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/675627/headshot/silo/current",29,R/R,"6' 3""",200,12/18/1996
Edgardo Henriquez,https://www.mlb.com/player/683618,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/683618/headshot/silo/current",60,R/R,"6' 4""",200,06/24/2002
Kyle Hurt,https://www.mlb.com/player/669165,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/669165/headshot/silo/current",63,R/R,"6' 3""",240,05/30/1998
Clayton Kershaw,https://www.mlb.com/player/477132,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/477132/headshot/silo/current",22,L/L,"6' 4""",225,03/19/1988
Landon Knack,https://www.mlb.com/player/689017,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/689017/headshot/silo/current",96,L/R,"6' 2""",220,07/15/1997
Michael Kopech,https://www.mlb.com/player/656629,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/656629/headshot/silo/current",45,R/R,"6' 3""",220,04/30/1996
Dustin May,https://www.mlb.com/player/669160,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/669160/headshot/silo/current",85,R/R,"6' 6""",180,09/06/1997
Bobby Miller,https://www.mlb.com/player/676272,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/676272/headshot/silo/current",28,L/R,"6' 5""",220,04/05/1999
Evan Phillips,https://www.mlb.com/player/623465,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/623465/headshot/silo/current",59,R/R,"6' 2""",215,09/11/1994
Tanner Scott,https://www.mlb.com/player/656945,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/656945/headshot/silo/current",66,R/L,"6' 0""",235,07/22/1994
Emmet Sheehan,https://www.mlb.com/player/686218,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/686218/headshot/silo/current",80,R/R,"6' 5""",220,11/15/1999
Blake Snell,https://www.mlb.com/player/605483,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/605483/headshot/silo/current",7,L/L,"6' 4""",225,12/04/1992
Blake Treinen,https://www.mlb.com/player/595014,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/595014/headshot/silo/current",49,R/R,"6' 5""",225,06/30/1988
Alex Vesia,https://www.mlb.com/player/681911,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/681911/headshot/silo/current",51,L/L,"6' 1""",209,04/11/1996
Justin Wrobleski,https://www.mlb.com/player/680736,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/680736/headshot/silo/current",70,L/L,"6' 1""",194,07/14/2000
Yoshinobu Yamamoto,https://www.mlb.com/player/808967,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/808967/headshot/silo/current",18,R/R,"5' 10""",176,08/17/1998
Kirby Yates,https://www.mlb.com/player/489446,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/489446/headshot/silo/current",38,L/R,"5' 10""",205,03/25/1987
Shohei Ohtani,https://www.mlb.com/player/660271,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/660271/headshot/silo/current",17,L/R,"6' 4""",210,07/05/1994
Austin Barnes,https://www.mlb.com/player/605131,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/605131/headshot/silo/current",15,R/R,"5' 10""",187,12/28/1989
Hunter Feduccia,https://www.mlb.com/player/676439,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/676439/headshot/silo/current",67,L/R,"6' 1""",215,06/05/1997
Will Smith,https://www.mlb.com/player/669257,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/669257/headshot/silo/current",16,R/R,"5' 10""",195,03/28/1995
Mookie Betts,https://www.mlb.com/player/605141,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/605141/headshot/silo/current",50,R/R,"5' 9""",180,10/07/1992
Freddie Freeman,https://www.mlb.com/player/518692,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/518692/headshot/silo/current",5,L/R,"6' 5""",220,09/12/1989
Enrique Hernández,https://www.mlb.com/player/571771,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/571771/headshot/silo/current",8,R/R,"5' 11""",195,08/24/1991
Hyeseong Kim,https://www.mlb.com/player/808975,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/808975/headshot/silo/current",6,L/R,"5' 7""",175,01/27/1999
Max Muncy,https://www.mlb.com/player/571970,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/571970/headshot/silo/current",13,L/R,"6' 0""",215,08/25/1990
Miguel Rojas,https://www.mlb.com/player/500743,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/500743/headshot/silo/current",72,R/R,"6' 0""",188,02/24/1989
Michael Conforto,https://www.mlb.com/player/624424,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/624424/headshot/silo/current",23,L/R,"6' 1""",215,03/01/1993
Tommy Edman,https://www.mlb.com/player/669242,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/669242/headshot/silo/current",25,S/R,"5' 10""",193,05/09/1995
Teoscar Hernández,https://www.mlb.com/player/606192,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/606192/headshot/silo/current",37,R/R,"6' 2""",215,10/15/1992
James Outman,https://www.mlb.com/player/681546,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/681546/headshot/silo/current",33,L/R,"6' 2""",215,05/14/1997
Andy Pages,https://www.mlb.com/player/681624,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/681624/headshot/silo/current",44,R/R,"6' 0""",212,12/08/2000
Chris Taylor,https://www.mlb.com/player/621035,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/w_180,q_auto:best/v1/people/621035/headshot/silo/current",3,R/R,"6' 1""",196,08/29/1990
